sku,concepto,unidad,precio,coef,Hmax
GYPSOTECH-AQUA-15,Gypsotech AQUA H2 BA 15,m2,12.10,2.05,3.2
MONTANTE-70-35-Z1,Montante 70/35 Z1,ml,0.593,2.8,3.2
RAIL-70-30-Z1,Rail 70 Z1,ml,0.477,0.7,3.2
TORN-PM-25,Tornillo PM 3.5x25,ud,0.014,18,3.2
TORN-PM-35,Tornillo PM 3.5x35,ud,0.017,22,3.2
TORN-MM-95,Tornillo MM 3.5x9.5,ud,0.014,3,3.2
CINTA-J-150,Cinta juntas papel,ml,0.056,1.0,3.2
CINTA-GV-30,Cinta guardavivos,ml,0.579,0.3,3.2
BANDA-E-70,Banda estanca 70 mm,ml,0.581,0.6,3.2
MAS-FJ2H,FASSAJOINT 2H,kg,1.327,0.30,3.2

