codigo,concepto,unidad,rendimiento_m2,precio_catalogo_almeria,familia_precio
L00A003200A0,Placa STD BA 13 (1.2x2.4),m2,4.10,6.36,PLACA
C3910041299A,Montante 100/40 Z1,ml,5.60,0.836,RESTO
U3010030300A,Rail 100 Z1,ml,0.80,0.710,RESTO
304101,Tornillo PM 3.5x25,ud,24,0.014,RESTO
304104,Tornillo PM 3.5x35,ud,16,0.017,RESTO
304134,Tornillo MM 3.5x9.5,ud,3,0.014,RESTO
304058,Cinta juntas papel,ml,4.00,0.056,RESTO
304065,Cinta guardavivos,ml,0.3,0.579,RESTO
304077,Banda estanca 90 mm,ml,1.20,0.753,RESTO
351E1,FASSAJOINT 1H,kg,0.40,1.33,RESTO
